Orj_Team,ATT_20182019,MID_20182019,DEF_20182019,OVR_20182019,ATT_20172018,MID_20172018,DEF_20172018,OVR_20172018,ATT_20162017,MID_20162017,DEF_20162017,OVR_20162017,ATT_20152016,MID_20152016,DEF_20152016,OVR_20152016,ATT_20142015,MID_20142015,DEF_20142015,OVR_20142015,ATT_20132014,MID_20132014,DEF_20132014,OVR_20132014
Arsenal,86,81,80,82,84,80,81,82,81,83,82,83,82,79,80,82,80,80,77,80,79,81,80,80
Aston Villa,,,,,,,,,,,,,74,74,74,75,72,74,74,75,72,71,74,74
Bournemouth,79,76,76,77,76,75,75,76,74,75,74,74,72,74,72,73,,,,,,,,
Brighton,76,77,76,76,74,76,74,75,,,,,,,,,,,,,,,,
Burnley,77,75,77,77,76,77,78,77,74,74,76,74,,,,,71,70,71,70,,,,
Cardiff,73,73,72,73,,,,,,,,,,,,,,,,,72,70,73,72
Chelsea,85,83,82,83,84,86,82,83,86,84,81,83,81,82,82,83,82,82,81,83,81,82,81,82
Crystal Palace,79,77,76,77,79,76,76,76,80,77,76,77,75,76,75,76,73,73,73,73,71,72,71,72
Everton,76,80,79,79,77,80,79,79,85,78,79,80,78,78,80,78,78,78,78,78,78,78,78,78
Fulham,78,76,72,75,,,,,,,,,,,,,,,,,71,74,72,75
Huddersfield,71,74,75,74,75,73,74,74,,,,,,,,,,,,,,,,
Hull,,,,,,,,,76,74,75,75,,,,,75,73,70,73,72,71,71,72
Leicester,77,78,78,78,79,79,76,78,79,78,76,78,76,77,75,76,71,72,68,72,,,,
Liverpool,86,82,82,83,85,81,80,81,82,81,81,81,81,79,79,79,79,78,75,79,76,79,78,80
Man City,86,88,83,85,85,87,83,84,83,85,81,83,84,82,81,82,83,82,81,82,84,83,81,82
Man United,83,83,80,82,85,83,81,83,84,84,82,83,69,80,77,81,85,80,75,81,85,79,80,82
Middlesbrough,,,,,,,,,76,74,74,75,,,,,,,,,,,,
Newcastle,78,76,76,77,76,75,76,75,,,,,77,77,75,77,74,75,74,75,78,75,76,76
Norwich,,,,,,,,,,,,,78,74,73,74,,,,,74,74,74,74
QPR,,,,,,,,,,,,,,,,,74,74,71,75,,,,
Southampton,76,77,73,76,76,77,75,76,78,76,77,78,76,76,76,77,77,75,76,76,76,76,73,75
Tottenham,88,82,83,83,85,83,82,83,85,81,81,81,82,78,79,79,78,77,77,78,77,80,78,80
Stoke,,,,,75,76,76,76,77,78,77,78,76,78,76,77,76,75,74,76,76,73,73,74
Sunderland,,,,,,,,,81,76,73,76,77,74,74,75,76,73,72,74,74,73,73,74
Swansea,,,,,76,75,74,75,78,76,75,77,77,76,76,76,77,74,74,75,79,74,75,76
Watford,78,78,77,77,78,77,75,77,78,78,76,77,77,74,74,75,,,,,,,,
West Brom,,,,,79,75,77,76,81,76,74,75,76,73,73,75,74,74,71,74,70,74,72,74
West Ham,80,78,77,79,79,76,74,77,79,77,77,78,76,76,74,77,75,74,72,75,76,74,72,74
Wolves,75,80,76,77,,,,,,,,,,,,,,,,,,,,
