Team,20182019,20172018,20162017,20152016,20142015,20132014
Man City,45.44,19.26,14.12,11.91,13.28,17.74
Man United,31.84,18.43,12.7,8.5,12.15,15.05
Chelsea,34.07,14.12,12.31,14.5,13.84,12.15
Arsenal,25.02,14.09,12.45,9.97,9.63,8.99
Liverpool,39.6,14.14,10.37,7.39,8.14,8.79
Tottenham,33.42,15.75,10.14,8.19,7.1,8.22
Everton,18.26,7.22,7.29,5.23,4.44,7.25
Newcastle,7.71,4.52,,4.78,3.33,5.72
Stoke,,5.08,5.68,4.1,4.3,4.34
Sunderland,,,2.68,3.05,3.39,4.09
Swansea,,4.76,3.71,3.84,2.99,3.83
Aston Villa,,,,2.55,3.34,3.42
Fulham,9.41,,,,,3.37
Southampton,9.36,8.53,5.95,5.36,4.06,3.31
Norwich,,,,2.53,,3.3
West Brom,,5.02,3.84,3.34,2.96,3.07
West Ham,12.42,6.46,5.47,3.7,3.42,3.05
Cardiff,3.47,,,,,2.37
Hull,,,3.17,,3.49,2.12
Crystal Palace,10.24,4.74,4.79,3.18,2.13,1.57
QPR,,,,,2.81,
Leicester,13.35,7.41,5.65,2.61,1.51,
Burnley,6.91,3.23,2.27,,1.23,
Watford,6.73,4.52,4.12,2.82,,
Bournemouth,10.85,3.32,2.52,1.39,,
Middlesbrough,,,3.48,,,
Brighton,7.54,2.74,,,,
Huddersfield,4.86,1.84,,,,
